ISIN,Date,Price,Model
AT0000999982,2023-09-27,3152.77,prod_LGBMRegressor
AT0000999982,2023-09-28,3150.65,prod_LGBMRegressor
AT0000999982,2023-09-29,3146.87,prod_LGBMRegressor
AT0000999982,2023-10-02,3151.16,prod_LGBMRegressor
AT0000999982,2023-10-03,3158.49,prod_LGBMRegressor
AT0000999982,2023-10-04,3167.82,prod_LGBMRegressor
AT0000999982,2023-10-05,3177.13,prod_LGBMRegressor
AT0000999982,2023-10-06,3182.36,prod_LGBMRegressor
AT0000743059,2023-09-25,45.21,prod_LGBMRegressor
AT0000743059,2023-09-26,45.28,prod_LGBMRegressor
AT0000743059,2023-09-27,45.37,prod_LGBMRegressor
AT0000743059,2023-09-28,45.43,prod_LGBMRegressor
AT0000743059,2023-09-29,45.45,prod_LGBMRegressor
AT0000743059,2023-10-02,45.53,prod_LGBMRegressor
AT0000743059,2023-10-03,45.63,prod_LGBMRegressor
AT0000743059,2023-10-04,45.7,prod_LGBMRegressor
AT0000743059,2023-10-05,45.78,prod_LGBMRegressor
AT0000743059,2023-10-06,45.87,prod_LGBMRegressor
AT0000937503,2023-09-25,26.3,prod_LGBMRegressor
AT0000937503,2023-09-26,26.31,prod_LGBMRegressor
AT0000937503,2023-09-27,26.19,prod_LGBMRegressor
AT0000937503,2023-09-28,26.14,prod_LGBMRegressor
AT0000937503,2023-09-29,26.19,prod_LGBMRegressor
AT0000937503,2023-10-02,26.23,prod_LGBMRegressor
AT0000937503,2023-10-03,26.12,prod_LGBMRegressor
AT0000937503,2023-10-04,26.13,prod_LGBMRegressor
AT0000937503,2023-10-05,26.27,prod_LGBMRegressor
AT0000937503,2023-10-06,26.36,prod_LGBMRegressor
AT0000652011,2023-09-25,32.38,prod_LGBMRegressor
AT0000652011,2023-09-26,32.46,prod_LGBMRegressor
AT0000652011,2023-09-27,32.46,prod_LGBMRegressor
AT0000652011,2023-09-28,32.54,prod_LGBMRegressor
AT0000652011,2023-09-29,32.58,prod_LGBMRegressor
AT0000652011,2023-10-02,32.68,prod_LGBMRegressor
AT0000652011,2023-10-03,32.75,prod_LGBMRegressor
AT0000652011,2023-10-04,32.84,prod_LGBMRegressor
AT0000652011,2023-10-05,32.94,prod_LGBMRegressor
AT0000652011,2023-10-06,33.01,prod_LGBMRegressor
AT0000746409,2023-09-25,79.01,prod_LGBMRegressor
AT0000746409,2023-09-26,79.17,prod_LGBMRegressor
AT0000746409,2023-09-27,78.88,prod_LGBMRegressor
AT0000746409,2023-09-28,79.16,prod_LGBMRegressor
AT0000746409,2023-09-29,79.42,prod_LGBMRegressor
AT0000746409,2023-10-02,79.53,prod_LGBMRegressor
AT0000746409,2023-10-03,79.77,prod_LGBMRegressor
AT0000746409,2023-10-04,80.14,prod_LGBMRegressor
AT0000746409,2023-10-05,80.57,prod_LGBMRegressor
AT0000746409,2023-10-06,81.17,prod_LGBMRegressor
AT0000922554,2023-09-25,30.5,prod_LGBMRegressor
AT0000922554,2023-09-26,30.23,prod_LGBMRegressor
AT0000922554,2023-09-27,30.22,prod_LGBMRegressor
AT0000922554,2023-09-28,30.33,prod_LGBMRegressor
AT0000922554,2023-09-29,30.25,prod_LGBMRegressor
AT0000922554,2023-10-02,30.21,prod_LGBMRegressor
AT0000922554,2023-10-03,30.16,prod_LGBMRegressor
AT0000922554,2023-10-04,30.21,prod_LGBMRegressor
AT0000922554,2023-10-05,30.33,prod_LGBMRegressor
AT0000922554,2023-10-06,30.42,prod_LGBMRegressor
AT00000VIE62,2023-09-25,46.99,prod_LGBMRegressor
AT00000VIE62,2023-09-26,47.06,prod_LGBMRegressor
AT00000VIE62,2023-09-27,47.08,prod_LGBMRegressor
AT00000VIE62,2023-09-28,47.13,prod_LGBMRegressor
AT00000VIE62,2023-09-29,47.19,prod_LGBMRegressor
AT00000VIE62,2023-10-02,47.21,prod_LGBMRegressor
AT00000VIE62,2023-10-03,47.28,prod_LGBMRegressor
AT00000VIE62,2023-10-04,47.39,prod_LGBMRegressor
AT00000VIE62,2023-10-05,47.51,prod_LGBMRegressor
AT00000VIE62,2023-10-06,47.7,prod_LGBMRegressor
AT0000741053,2023-09-25,24.85,prod_LGBMRegressor
AT0000741053,2023-09-26,24.78,prod_LGBMRegressor
AT0000741053,2023-09-27,24.77,prod_LGBMRegressor
AT0000741053,2023-09-28,24.84,prod_LGBMRegressor
AT0000741053,2023-09-29,24.9,prod_LGBMRegressor
AT0000741053,2023-10-02,24.94,prod_LGBMRegressor
AT0000741053,2023-10-03,25.02,prod_LGBMRegressor
AT0000741053,2023-10-04,25.17,prod_LGBMRegressor
AT0000741053,2023-10-05,25.13,prod_LGBMRegressor
AT0000741053,2023-10-06,25.15,prod_LGBMRegressor
AT0000785555,2023-09-25,16.87,prod_LGBMRegressor
AT0000785555,2023-09-26,17.02,prod_LGBMRegressor
AT0000785555,2023-09-27,16.67,prod_LGBMRegressor
AT0000785555,2023-09-28,16.56,prod_LGBMRegressor
AT0000785555,2023-09-29,16.76,prod_LGBMRegressor
